image,question,answer
image2744,"Are the periphery large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",no
image2744,"How is the number there of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",large
image2745,What are normocellular?,glomeruli
image2745,Are the capillary walls diffusely thickened due to duplication of the GBM?,yes
image2745,Are layers of squamous epithelium diffusely thickened due to duplication of the GBM?,no
image2745,Are the cytoplasm normocellular?,no
image2745,Are glomeruli normocellular?,yes
image2746,"Was the extensive subcutaneous fibrosis present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",no
image2746,Are predominance of blastemal morphology and diffuse anaplasia associated with specific molecular lesions ?,yes
image2746,Are FISH using a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma associated with specific molecular lesions?,no
image2746,"Was focal anaplasia present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",yes
image2747,Are the mature red cells higher as demonstrated by this cytochemical stain?,no
image2748,Is the section of the mitral valve seen?,no
image2748,Are many thick-walled dilated cavities with cartilaginous wall seen?,yes
image2749,Are two daughter cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,no
image2749,Are equence of events in the pathogenesis of reversible and irreversible cell injury pale?,no
image2749,Are the nuclei of affected tubules pale?,yes
image2749,Are the tubular epithelial cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,yes
image2749,Is the interstitial vasculature compressed?,yes
image2750,Is amyloid derived from calcitonin molecules secreted by the neoplastic cells?,yes
image2750,"Do acute epididymitis contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",no
image2750,"Do these tumors contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",yes
image2750,Is the polyp derived from calcitonin molecules secreted by the neoplastic cells?,no
image2750,What is derived from calcitonin molecules secreted by the neoplastic cells?,amyloid
image2751,What are still recognisable as of transitional origin and show features of anaplasia?,cells
image2751,Are the cells still recognisable as of transitional origin and show features of anaplasia?,yes
image2751,"Are uclear features of malignant cells in malignant melanoma-pleomorphism, anisonucleosis, still recognisable as of transitional origin and show features of anaplasia?",no
image2751,What is there in the number of layers of epithelium?,increase
image2751,Is the heart increased in the number of layers of epithelium?,no
image2751,Is there increase in the number of layers of epithelium?,yes
image2752,Is the aorta with mild atherosclerosis composed of fibrous plaques?,yes
image2753,Does rest of the hepatic parenchyma in the upper part of the picture show presence of loculi containing gelatinous mucoid material?,no
image2753,Does the anorectal margin show a very large multilocular cyst without papillae?,no
image2753,Does cut surface show a very large multilocular cyst without papillae?,yes
image2753,Does the cyst wall show presence of loculi containing gelatinous mucoid material?,yes
image2754,Does the wall of the artery show a circumferential bright pink area of necrosis with protein deposition and inflammation?,yes
image2755,Does the smear show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,yes
image2755,Does electron microscopy show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,no
image2756,What is a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,glioblastoma
image2756,Is the wall of the aneurysm a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,no
image2756,Is glioblastoma a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,yes
image2757,Do renal tubules and glomeruli show typical coagulative necrosis?,yes
image2757,Does sequence of events in the pathogenesis of reversible and irreversible cell injury show typical coagulative necrosis ie?,no
image2757,Is the deposition acute inflammatory infiltrate at the periphery of the infarct?,no
image2757,Is there acute inflammatory infiltrate at the periphery of the infarct?,yes
image2758,"Do the areas of white chalky deposits remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",no
image2758,"Do only a few areas of pale squamous mucosa remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",yes
image2759,Do the hyperplastic follicles contain abundant pink colloid within their lumina?,yes
image2759,Do histologic features of the chancre contain abundant pink colloid within their lumina?,no
image2759,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
image2760,Do the histone subunits compress the urethra into a slitlike lumen?,no
image2760,Do well-defined nodules compress the urethra into a slitlike lumen?,yes
image2761,D lose whose cell membrane further during passage through the spleen?,their
image2761,Do m phase lose their cell membrane further during passage through the spleen?,no
image2761,Do these rigid spherical cells lose their cell membrane further during passage through the spleen?,yes
image2761,Does the wedge-shaped infarct result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,no
image2761,Does this result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,yes
image2761,What results in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,this
image2761,Do these end components of chromosome result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,no
image2761,"Do mutations in membrane proteins-alpha-spectrin, beta-spectrin and ankyrin, result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?",yes
image2761,Does this produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,yes
image2761,These rigid spherical cells lose whose cell membrane further during passage through the spleen?,their
image2761,What produces a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,this
image2761,Does bdominal fat aspirate stained with congo red produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,no
image2761,Do left side lose their cell membrane further during passage through the spleen?,no
image2762,Is the irreversible injury seen on the right?,no
image2762,Is normal testis seen on the right?,yes
image2762,Is this in turn involved by an abscess?,no
image2762,Is the epididymis involved by an abscess?,yes
image2762,Is bowing of legs caused by gonococcal infection?,no
image2762,Is acute epididymitis caused by gonococcal infection?,yes
image2763,Is the serial numbers in the figure base on size and location of centromere?,no
image2763,Is classification of chromosomes base on size and location of centromere?,yes
image2764,Does the coarsely nodular gland contain areas of fibrosis and cystic change?,yes
image2764,Does the injurious stimulus contain areas of fibrosis and cystic change?,no
image2764,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
image2765,"Is the tan-colored,  encapsulated small tumor seen abutting the optic nerve?",no
image2765,Is the poorly cohesive tumor in the retina seen abutting the optic nerve?,yes
image2766,"Does the histologic appearance demonstrate small round,  uniform nuclei and moderate cytoplasm?",yes
image2766,What does the histologic appearance demonstrate?,small
image2767,Is an arteriole markedly thickened?,no
image2767,Is the gastric wall markedly thickened?,yes
image2767,"Is a binucleate reed-sternberg cell with large,  inclusion-like nucleoli and abundant cytoplasm fold partially lost?",no
image2767,Are the rugal fold partially lost?,yes
image2768,Does myoma lesion show epulis fissuratum?,no
image2768,Is oral present?,yes
image2768,Is periprostatic vein thrombi present?,no
image2768,What is present?,oral
image2768,Does this image show epulis fissuratum?,yes
image2768,Where is this?,oral
image2769,Does metastatic malignant melanoma show pleomorphic adenoma benign mixed tumor?,no
image2769,Is oral present?,yes
image2769,What is present?,oral
image2769,Does this image show pleomorphic adenoma benign mixed tumor?,yes
image2769,Where is this?,oral
image2769,Is postpartum uterus present?,no
image2770,Is metastatic melanoma present?,no
image2770,What is present?,oral
image2770,Does ulcerative lesion show sarcoidosis?,no
image2770,Does this image show sarcoidosis?,yes
image2770,What does this image show?,sarcoidosis
image2770,Where is this?,oral
image2770,Is oral present?,yes
image2771,Is 7182 and 7183 present?,no
image2771,Is oral present?,yes
image2771,What is present?,oral
image2771,Does sugar coated show chronic sialadenitis?,no
image2771,Where is this?,oral
image2771,Does this image show chronic sialadenitis?,yes
image2772,Does this image show compound nevus?,yes
image2772,Does bilateral cleft palate show compound nevus?,no
image2772,What is present?,oral
image2772,Is oral present?,yes
image2772,Is excellent example present?,no
image2772,Where is this?,oral
image2773,Where is this?,oral
image2773,Does this image show incisive canal cyst nasopalatien duct cyst?,yes
image2773,What is present?,oral
image2773,Does pulmonary osteoarthropathy show incisive canal cyst nasopalatien duct cyst?,no
image2773,Is nuclear change present?,no
image2773,Is oral present?,yes
image2774,Does opened base of skull with brain show pemphigus vulgaris?,no
image2774,What is present?,oral
image2774,Is umbilical cord present?,no
image2774,Where is this?,oral
image2774,Does this image show pemphigus vulgaris?,yes
image2774,Is oral present?,yes
image2775,Is oral present?,yes
image2775,What is present?,oral
image2775,Does this image show intramucosal nevus?,yes
image2775,Where is this?,oral
image2775,Does opened larynx show intramucosal nevus?,no
image2775,Is matting history of this case present?,no
image2776,Where is this?,oral
image2776,Is oral present?,yes
image2776,What is present?,oral
image2776,Does infiltrative process show leukemic infiltrate?,no
image2776,Does this image show leukemic infiltrate?,yes
image2776,Is side present?,no
image2777,Does this image show papilloma?,yes
image2777,Does chronic ischemia show papilloma?,no
image2777,What is present?,oral
image2777,Is oral present?,yes
image2777,Is polyarteritis nodosa present?,no
image2777,What does this image show?,papilloma
image2777,Where is this?,oral
image2778,Is feet present?,no
image2778,Where is this?,oral
image2778,Does this image show capillary hemangioma?,yes
image2778,Does intraductal papillomatosis with apocrine metaplasia show capillary hemangioma?,no
image2778,What is present?,oral
image2778,Is oral present?,yes
image2779,Where is this?,oral
image2779,What is present?,oral
image2779,Does intraductal papillomatosis show burkits lymphoma?,no
image2779,Does this image show burkits lymphoma?,yes
image2779,Is oral present?,yes
image2779,Is whipples disease present?,no
image2780,Where is this?,oral
image2780,Does this image show hematopoietic bone marrow defect?,yes
image2780,Does hypertension show hematopoietic bone marrow defect?,no
image2780,What is present?,oral
image2780,Is oral present?,yes
image2780,Is subependymal giant cell astrocytoma present?,no
image2781,What is present?,oral
image2781,Where is this?,oral
image2781,Does this image show periapical granuloma?,yes
image2781,Is this close-up of cut surface infiltrates present?,no
image2781,Is oral present?,yes
image2781,Does splenomegaly with cirrhosis show periapical granuloma?,no
image2782,Where is this?,oral
image2782,Does this image show developing 3rd molar?,yes
image2782,Does mixed mesodermal tumor show developing 3rd molar?,no
image2782,What is present?,oral
image2782,Is oral present?,yes
image2782,Is metastatic carcinoma prostate present?,no
image2783,Is chest and abdomen slide present?,no
image2783,Is oral present?,yes
image2783,What is present?,oral
image2783,Does cut edge of mesentery show chronic osteomyelitis?,no
image2783,Does this image show chronic osteomyelitis?,yes
image2783,Where is this?,oral
image2784,Is vasculitis foreign body present?,no
image2784,What is present?,musculoskeletal
image2784,"Does intraductal papillomatosis show skeletal muscle, atrophy due to immobilization cast?",no
image2784,Is musculoskeletal present?,yes
image2784,"Does this image show skeletal muscle, atrophy due to immobilization cast?",yes
image2785,What is present?,musculoskeletal
image2785,Is mucoepidermoid carcinoma present?,no
image2785,Is musculoskeletal present?,yes
image2785,"Does this image show synovium, pannus and fibrinoid necrosis, rheumatoid arthritis?",yes
image2785,"Does opened muscle show synovium, pannus and fibrinoid necrosis, rheumatoid arthritis?",no
image2785,What does this image show?,synovium
image2786,"Does this image show bone, vertebral body opsteopenia, osteoporosis?",yes
image2786,Is infarction secondary to shock present?,no
image2786,Is musculoskeletal present?,yes
image2786,What is present?,musculoskeletal
image2786,"Does child show bone, vertebral body opsteopenia, osteoporosis?",no
image2786,What does this image show?,bone
image2787,Is external view of spleen with multiple recent infarcts present?,no
image2787,Is joints present?,yes
image2787,What is present?,joints
image2787,"Does normal show synovial proliferation, villous, rheumatoid arthritis?",no
image2787,"Does this image show synovial proliferation, villous, rheumatoid arthritis?",yes
image2788,"Does nuclear change show tracheotomy site, granulation tissue?",no
image2788,"Does this image show tracheotomy site, granulation tissue?",yes
image2788,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?,no
image2788,Is soft tissue present?,yes
image2788,What is present?,muscle
image2788,Is rheumatoid arthritis present?,no
image2788,Is muscle present?,yes
image2789,What does this image show?,gout
image2789,Does this image show gout?,yes
image2789,Does polycystic disease show gout?,no
image2789,What is present?,joints
image2789,Is mitotic figures present?,no
image2789,Is joints present?,yes
image2790,Is joints present?,yes
image2790,What is present?,joints
image2790,"Does this image show rheumatoid arthritis, synovial hypertrophy with formation of villi pannus?",yes
image2790,"Does krukenberg tumor show rheumatoid arthritis, synovial hypertrophy with formation of villi pannus?",no
image2790,Is a barely seen vascular mass extruding from occipital region of skull arms and legs present?,no
image2791,Does this image show distal femur lesion?,yes
image2791,What is present?,joints
image2791,Is joints present?,yes
image2792,"Does this image show bone, hyperparathyroidism,?",yes
image2792,What is present?,joints
image2792,Is joints present?,yes
image2792,What does this image show?,bone
image2793,What is tumor well shown gross?,slide
image2793,Does this image show tumor well shown gross is slide?,yes
image2793,Does sickle cell disease show tumor well shown gross is slide?,no
image2793,What is present?,joints
image2793,Is joints present?,yes
image2793,Is view looking down on heads present?,no
image2793,Is malignant adenoma slide?,no
image2793,Is tumor well shown gross slide?,yes
image2794,What is present?,joints
image2795,Does histoplasmosis show typical lesion?,no
image2795,What is present?,joints
image2795,Is joints present?,yes
image2795,Is hearts present?,no
image2795,Does this image show typical lesion?,yes
image2796,What is present?,joints
image2797,Is soft tissue present?,yes
image2797,Is muscle present?,yes
image2797,What is present?,muscle
image2797,Does this image show typical acute lesion very good?,yes
image2798,Does gangrene toe in infant show typical lesion case associated with widespread vasculitis?,no
image2798,What is present?,joints
image2798,Is joints present?,yes
image2798,Is peritoneal surface of uterus and douglas pouch outstanding photo primary present?,no
image2798,How is typical lesion case associated with  vasculitis ?,widespread
image2798,Does this image show typical lesion case associated with widespread vasculitis?,yes
image2799,Is joints present?,yes
image2799,What is present?,joints
image2800,Is normal newborn present?,no
image2800,Is soft tissue present?,yes
image2800,Does papillary adenoma show skeletal muscle atrophy?,no
image2800,Does this image show skeletal muscle atrophy?,yes
image2801,"Does this image show tracheotomy site, granulation tissue?",yes
image2801,"Does seminoma show tracheotomy site, granulation tissue?",no
image2801,What is present?,muscle
image2801,Is muscle present?,yes
image2801,Is carcinomatosis present?,no
image2801,Is soft tissue present?,yes
image2801,Is jejunum present?,no
image2802,"Does this image show tracheotomy site, granulation tissue?",yes
image2802,Is all the fat necrosis present?,no
image2802,Is muscle present?,yes
image2802,What is present?,muscle
image2802,Is face present?,no
image2802,Is soft tissue present?,yes
image2802,"Does granulomata slide show tracheotomy site, granulation tissue?",no
image2803,Is cushings disease present?,no
image2803,What does this image show?,gout
image2803,Does this image show gout?,yes
image2803,Does vasculitis foreign body show gout?,no
image2803,What is present?,joints
image2803,Is joints present?,yes
image2804,Does this image show gout?,yes
image2804,What does this image show?,gout
image2804,Does inflamed exocervix show gout?,no
image2804,What is present?,joints
image2804,Is varices present?,no
image2804,Is joints present?,yes
image2805,Does acute lymphocytic leukemia show gout?,no
image2805,Does this image show gout?,yes
image2805,What does this image show?,gout
image2805,What is present?,joints
image2805,Is joints present?,yes
image2805,Is external view several capsule lacerations present?,no
image2806,Is this present?,no
image2806,"Does this protocol show skeletal muscle, atrophy due to immobilization cast?",no
image2806,What is present?,musculoskeletal
image2806,Is musculoskeletal present?,yes
image2806,"Does this image show skeletal muscle, atrophy due to immobilization cast?",yes
image2807,"Does this image show lung, mycobacterium tuberculosis, acid fast?",yes
image2807,What does this image show?,lung
image2807,"Does hemochromatosis show lung, mycobacterium tuberculosis, acid fast?",no
image2807,Where is this?,lung
image2807,Is respiratory present?,yes
image2807,Is case of dic not bad photo present?,no
image2807,What is present?,respiratory
image2808,"Does this image show lung, mycobacterium tuberculosis, granulomas and giant cells?",yes
image2808,"Does ap view show lung, mycobacterium tuberculosis, granulomas and giant cells?",no
image2808,What is present?,respiratory
image2808,What does this image show?,lung
image2808,Is maxillary sinus present?,no
image2808,Where is this?,lung
image2808,Is respiratory present?,yes
image2809,What does this image show?,lung
image2809,Is sickle cell disease present?,no
image2809,Is respiratory present?,yes
image2809,What is present?,respiratory
image2809,"Does this image show lung, diffuse alveolar damage?",yes
image2809,"Does nodular tumor show lung, diffuse alveolar damage?",no
image2809,Where is this?,lung
image2810,Is papillary intraductal adenocarcinoma present?,no
image2810,What does this image show?,lung
image2810,"Does this image show lung, congestive heart failure, bone marrow embolus?",yes
image2810,"Does fibrinous peritonitis show lung, congestive heart failure, bone marrow embolus?",no
image2810,What is present?,respiratory
image2810,Is respiratory present?,yes
image2810,Where is this?,lung
image2811,What does this image show?,lung
image2811,"Does this image show lung, pneumocystis pneumonia?",yes
image2811,"Does chromophobe adenoma show lung, pneumocystis pneumonia?",no
image2811,What stain?,silver
image2811,Do silver stain?,yes
image2811,Do malignant adenoma stain?,no
image2811,What is present?,respiratory
image2811,Is respiratory present?,yes
image2811,Where is this?,lung
image2811,Is fibroma present?,no
image2812,Where is this?,lung
image2812,What does this image show?,lung
image2812,Does this image show lung?,yes
image2812,Does anencephaly and bilateral cleft palate show lung?,no
image2812,What is present?,respiratory
image2812,Is spinal column present?,no
image2812,Is respiratory present?,yes
image2813,What is present?,respiratory
image2813,Where is this?,lung
image2813,Is postpartum uterus present?,no
image2813,What does this image show?,lung
image2813,"Does this image show lung, cryptococcal pneumonia?",yes
image2813,"Does cysticercosis show lung, cryptococcal pneumonia?",no
image2813,Is respiratory present?,yes
image2814,Where is this?,lung
image2814,Is glioblastoma multiforme present?,no
image2814,Is respiratory present?,yes
image2814,What is present?,respiratory
image2814,"Does pinworm show lung, congestion, heart failure cells hemosiderin laden macrophages?",no
image2814,What does this image show?,lung
image2814,"Does this image show lung, congestion, heart failure cells hemosiderin laden macrophages?",yes
image2815,What is present?,respiratory
image2815,"Do this image shows lung, bronchopneumonia, bacterial, tissue gram stain?",yes
image2815,Is respiratory present?,yes
image2815,Where is this?,lung
image2816,What does this image show?,lung
image2816,Where is this?,lung
image2816,Is digital infarcts bacterial endocarditis present?,no
image2816,Is respiratory present?,yes
image2816,What is present?,respiratory
image2816,"Does neurofibrillary change show lung, infarct, acute and organized?",no
image2816,"Does this image show lung, infarct, acute and organized?",yes
image2817,Where is this?,lung
image2817,Is there present?,no
image2817,Is respiratory present?,yes
image2817,What is present?,respiratory
image2817,"Does ulcer with candida infection show lung, histoplasma pneumonia?",no
image2817,"Does this image show lung, histoplasma pneumonia?",yes
image2817,What does this image show?,lung
image2818,Where is this?,lung
image2818,What is present?,respiratory
image2818,Is respiratory present?,yes
image2818,Does this image show Breast cancer metastasis to lung?,yes
image2819,"Does opened muscle show lung, infarct, acute and organized?",no
image2819,"Does this image show lung, infarct, acute and organized?",yes
image2819,What does this image show?,lung
image2819,Is respiratory present?,yes
image2819,Where is this?,lung
image2819,What is present?,respiratory
image2819,Is metastatic pancreas carcinoma present?,no
image2820,What does this image show?,lung
image2820,"Does this image show lung, sarcoidosis, multinucleated giant cells with asteroid bodies?",yes
image2820,What is present?,respiratory
image2820,Is respiratory present?,yes
image2820,Where is this?,lung
image2821,What does this image show?,lung
image2821,"Does polycystic disease show lung, mycobacterium tuberculosis, granulomas and giant cells?",no
image2821,What is present?,respiratory
image2821,Is respiratory present?,yes
image2821,Where is this?,lung
image2821,"Does this image show lung, mycobacterium tuberculosis, granulomas and giant cells?",yes
image2821,Is morphology present?,no
image2822,What does this image show?,lung
image2822,"Does this image show lung, multinucleated foreign body giant cell?",yes
image2822,Where is this?,lung
image2822,"Does pancreas show lung, multinucleated foreign body giant cell?",no
image2823,"Was talc used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",yes
image2823,Is endometritis present?,no
image2823,What does this image show?,pleura
image2823,"Does this image show pleura, talc reaction?",yes
image2823,"Does this person show pleura, talc reaction?",no
image2823,"What was used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",talc
image2823,"How many antitrypsin was talc used to sclerose emphysematous lung, alpha-deficiency?",1
image2823,"Was coronary artery anomalous origin left from pulmonary artery used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",no
image2823,What stain?,trichrome
image2823,Does trichrome stain?,yes
image2823,Does serous cystadenoma stain?,no
image2823,Where is this?,lung
image2823,What is present?,respiratory
image2823,Is respiratory present?,yes
image2824,"How many antitrypsin was talc used to sclerose emphysematous lung, alpha-deficiency?",1
image2824,"What was used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",talc
image2824,"Does purulent sinusitis show pleura, talc reaction?",no
image2824,"Does this image show pleura, talc reaction?",yes
image2824,What does this image show?,pleura
image2824,"Was macerated stillborn used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",no
image2824,What is present?,respiratory
image2824,"Was talc used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?",yes
image2824,Is this partially fixed gross present?,no
image2824,Where is this?,lung
image2824,Is respiratory present?,yes
image2825,What does this image show?,brain
image2825,"Does this image show brain, herpes encephalitis?",yes
image2825,"Does oil acid show brain, herpes encephalitis?",no
image2825,Is aplastic present?,no
image2825,Is nervous present?,yes
image2825,What is present?,nervous
image2826,Does cytomegalovirus show external view bilateral cleft palate?,no
image2826,Does this image show external view bilateral cleft palate?,yes
image2827,What is present ?,Lymphangiomatosis
image2827,Is lymphangiomatosis present?,yes
image2827,What is present?,lymphangiomatosis
image2827,Does this image show opened scalp to show small cranium inside of boggy edematous scalp?,yes
image2828,Is embryo-fetus present?,no
image2828,What is present?,bone
image2828,Does this image show large nodular osteoma in right temporal fossa?,yes
image2828,"Is bone, calvarium present?",yes
image2828,Does fibroma show large nodular osteoma in right temporal fossa?,no
image2829,What is present?,bone
image2829,"Is bone, calvarium present?",yes
image2829,Is basilar skull fracture present?,yes
image2830,Is malformed base present?,yes
image2830,Is malformed base present?,yes
image2831,Is rheumatoid arthritis present?,yes
image2831,"Is bone , calvarium present?",yes
image2831,Is benign cystic teratoma present?,no
image2831,Is rheumatoid arthritis present?,yes
image2831,Does this image show stenotic foramen magnum in situs excellent example?,yes
image2831,"Is bone, calvarium present?",yes
image2831,What is present?,bone
image2831,Is carcinomatosis endometrium primary present?,no
image2831,Does hematoma show stenotic foramen magnum in situs excellent example?,no
image2832,Is body on autopsy table lesion that supposedly predicts premature coronary disease easily seen?,yes
image2832,Is ear lobe horizontal crease present?,yes
image2832,Is premature coronary disease easily seen?,yes
image2832,Is granulosa cell tumor easily seen?,no
image2832,Does this image show body on autopsy table lesion that supposedly predicts premature coronary disease is easily seen?,yes
image2832,Does bicornate uterus show body on autopsy table lesion that supposedly predicts premature coronary disease is easily seen?,no
image2832,Is source present?,no
image2832,Is ear lobe horizontal crease present?,yes
image2833,"Is bone, calvarium present?",yes
image2833,What is present?,bone
image2833,Does this image show close-up of linear fracture very well?,yes
image2833,Is basilar skull fracture present?,yes
image2834,Is temporal muscle hemorrhage present?,yes
image2834,Does this protocol have basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia ?,yes
image2834,Is temporal muscle hemorrhage present?,yes
image2834,Does this protocol have basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia?,yes
image2835,Do lateral view of infants head showing mandibular lesion?,yes
image2835,Is Pierre robin sndrome present?,yes
image2835,How do lateral view of infants head showing  lesion ?,mandibular
image2835,Is case of dic not bad photo present?,no
image2835,Does case of peritonitis slide show lateral view of infants head showing mandibular lesion?,no
image2835,Does this image show lateral view of infants head showing mandibular lesion?,yes
image2835,Do liver with tuberculoid granuloma in glissons head showing mandibular lesion?,no
image2836,Is teeth present?,no
image2836,Is choanal atresia present?,yes
image2836,Does pus in test tube show right side atresia left was patent hemisection of nose?,no
image2836,Does this image show right side atresia left was patent hemisection of nose?,yes
image2836,Is outside adrenal capsule section left was patent hemisection of nose?,no
image2836,Is right side atresia left was patent hemisection of nose?,yes
image2837,Does this image show very good example associated with tuberous sclerosis?,yes
image2837,Does hypertension show very good example associated with tuberous sclerosis?,no
image2837,What is present?,Face
image2837,Is lesion of myocytolysis present?,no
image2837,What is present ?,Face
image2837,How is very good example associated with  sclerosis ?,tuberous
image2837,Is adenoma sebaceum present?,yes
image2837,Is Face present?,yes
image2837,Is opened uterus and cervix with large cervical myoma protruding into vagina slide present?,no
image2838,Does this image show frontal sinuses inflammation and pus well shown?,yes
image2838,Is carcinomatosis endometrium primary present?,no
image2838,Is purulent sinusitis present?,yes
image2838,Does all the fat necrosis show frontal sinuses inflammation and pus well shown?,no
image2839,Is leiomyoma present?,no
image2839,Is slide present?,no
image2839,What looks more like a gunshot wound ?,this
image2839,"Is bone, calvarium present?",yes
image2839,What is present?,bone
image2839,Does wound look more like a gunshot wound?,no
image2839,Does this look more like a gunshot wound?,yes
image2839,What looks more like a gunshot wound?,this
image2839,Is basilar skull fracture present?,yes
image2840,Is cleft palate present?,no
image2840,Does this image show dr garcia tumors b4?,yes
image2840,Does an opened peritoneal cavity cause by fibrous band strangulation show dr garcia tumors b4?,no
image2840,What is present?,bone
image2840,"Is bone, calvarium present?",yes
image2840,Is alpha smooth muscle actin immunohistochemical present?,no
image2840,Is metastatic lung carcinoma present?,yes
image2841,Is multiple myeloma present?,yes
image2841,Is photo present?,no
image2841,"Does squamous cell carcinoma, lip remote, show close-up view of hemorrhagic excavation quite good?",no
image2841,Is carcinoma metastatic lung present?,no
image2841,Does this image show close-up view of hemorrhagic excavation quite good?,yes
image2841,What is present?,bone
image2841,"Is bone, skull present?",yes
image2842,Is basilar skull fracture present?,yes
image2842,Does anencephaly show view of petrous portion temporal bone rather close-up 22yo man 37 foot fall?,no
image2842,Does this image show view of petrous portion temporal bone rather close-up 22yo man 37 foot fall?,yes
image2842,How many foot does this image show view of petrous portion temporal bone rather close-up 22yo man fall?,37
image2842,Is nodule present?,no
image2843,Where is this?,lung
image2843,Is median lobe hyperplasia with marked cystitis and bladder hypertrophy ureter present?,no
image2843,How is x-ray chest shown left hilar  tumor in hilar node ?,mass
image2843,How is x-ray chest shown left hilar mass tumor in hilar  ?,node
image2843,Is lung present?,yes
image2843,Is incidental finding present?,no
image2843,Is metastatic malignant ependymoma present?,yes
image2843,Does the excellent uterus show x-ray chest well shown left hilar mass tumor in hilar node?,no
image2843,Does this image show x-ray chest well shown left hilar mass tumor in hilar node?,yes
image2843,What is present?,lung
image2844,Is nervous present?,yes
image2844,What is present?,nervous
image2844,Is endocrine present?,no
image2844,"Does this image show brain, herpes inclusion bodies?",yes
image2844,What does this image show?,brain
image2844,"Does hemorrhage newborn show brain, herpes inclusion bodies?",no
image2845,Does this image show well shown meningitis purulent?,yes
image2845,Does interstitial cell tumor show well shown meningitis purulent?,no
image2845,What is present?,brain
image2845,Is granulosa cell tumor present?,no
image2845,Is brain present?,yes
image2846,Is atypical appearing immunoblastic cells near splenic arteriole man present?,no
image2846,Is alzheimers present?,yes
image2846,What is present?,alzheimers
image2846,Is vasculature present?,no
image2846,Is brain present?,yes
image2846,What is present?,brain
image2846,Does this image show neural tangle?,yes
image2846,Does astrocytoma show neural tangle?,no
image2847,What does this image show?,brain
image2847,"Does this image show brain, encephalomalasia?",yes
image2847,What is present?,nervous
image2847,Is nervous present?,yes
image2847,Where is this?,nervous
image2848,Do mucicarmine stain?,yes
image2848,Where is this?,nervous
image2848,What does this image show?,brain
image2848,"Does this image show brain, cryptococcal meningitis?",yes
image2848,"Does peritoneum show brain, cryptococcal meningitis?",no
image2848,Do sacrococcygeal teratoma stain?,no
image2848,What is present?,nervous
image2848,Is nervous present?,yes
image2848,Is cut edge of mesentery present?,no
image2848,What stain?,mucicarmine
image2849,Where is this?,nervous
image2849,Is nervous present?,yes
image2849,What is present?,nervous
image2849,"Does this image show brain, microthrombi, thrombotic thrombocytopenic purpura?",yes
image2849,What does this image show?,brain
image2850,What does this image show?,brain
image2850,"Does this image show brain, infarct due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery?",yes
image2850,Is nervous present?,yes
image2850,Where is this?,nervous
image2850,What is present?,nervous
image2851,What does this image show?,brain
image2851,"Does this image show brain, subarachanoid hemorrhage and hematoma due to ruptured aneurysm?",yes
image2851,What is present?,nervous
