image,question,answer
image880,What does this image show?,brain
image880,"Does this image show brain, encephalomalasia?",yes
image880,What is present?,nervous
image880,Is nervous present?,yes
image880,Where is this?,nervous
image881,Where is this?,nervous
image881,Is nervous present?,yes
image881,What is present?,nervous
image881,"Does this image show brain, infarct due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery, plasmacytic astrocytes?",yes
image881,What does this image show?,brain
image882,Where is this?,nervous
image882,Is pneumocystis present?,no
image882,Is nervous present?,yes
image882,What is present?,nervous
image882,"Does single metastatic appearing lesion show brain, encephalomalasia?",no
image882,"Does this image show brain, encephalomalasia?",yes
image882,What does this image show?,brain
image883,"Does this image show brain, pick 's disease?",yes
image883,What does this image show?,brain
image883,Where is this?,nervous
image883,Is pus in test tube present?,no
image883,Is nervous present?,yes
image883,What is present?,nervous
image883,"Does sac show brain, pick 's disease?",no
image884,What is present?,brain
image884,Is brain present?,yes
image884,Is senile plaque present?,yes
image884,Is case of peritonitis slide present?,no
image884,Is no tissue recognizable as ovary present?,no
image885,Is corpus luteum present?,no
image885,What is present?,nervous
image885,"Does chronic lymphocytic leukemia show brain, pick 's disease?",no
image885,"Does this image show brain, pick 's disease?",yes
image885,What does this image show?,brain
image885,Is nervous present?,yes
image885,Where is this?,nervous
image886,Where is this?,nervous
image886,Is opened muscle present?,no
image886,Is nervous present?,yes
image886,What is present?,nervous
image886,"Does fixed tissue show brain, frontal lobe atrophy, pick 's disease?",no
image886,"Does this image show brain, frontal lobe atrophy, pick 's disease?",yes
image886,What does this image show?,brain
image887,What is present?,nervous
image887,Is nervous present?,yes
image887,Does metastatic carcinoma show bacterial meningitis?,no
image887,Is gout present?,no
image887,Where is this?,nervous
image887,Does this image show bacterial meningitis?,yes
image888,What is present?,nervous
image888,"Does traumatic rupture show spinal cord injury due to vertebral column trauma, demyelination?",no
image888,"Does this image show spinal cord injury due to vertebral column trauma, demyelination?",yes
image888,Is basal skull fracture present?,no
image888,Is nervous present?,yes
image889,Where is this?,nervous
image889,Is lymphangiomatosis generalized present?,no
image889,Is nervous present?,yes
image889,What is present?,nervous
image889,Does this image show bacterial meningitis?,yes
image889,Does metastatic adenocarcinoma show bacterial meningitis?,no
image890,Does this image show brain lymphoma?,yes
image890,Does premature coronary disease show brain lymphoma?,no
image890,What is present?,nervous
image890,Is nervous present?,yes
image890,Is oil acid present?,no
image890,Where is this?,nervous
image891,What is present?,nervous
image891,What does this image show?,brain
image891,"Does this image show brain, pick 's disease?",yes
image891,"Does high excellent steroid show brain, pick 's disease?",no
image891,Where is this?,nervous
image891,Is anthracotic pigment present?,no
image891,Is nervous present?,yes
image892,"Does this image show neural tube defect, meningomyelocele?",yes
image892,Is metastatic colon cancer present?,no
image892,Where is this?,nervous
image892,Is nervous present?,yes
image892,What is present?,nervous
image892,"Does nodular tumor show neural tube defect, meningomyelocele?",no
image893,"Does hepatobiliary show spinal cord injury due to vertebral column trauma, demyelination?",no
image893,Is nervous present?,yes
image893,"Does this image show spinal cord injury due to vertebral column trauma, demyelination?",yes
image893,What is present?,nervous
image893,Is left ventricle hypertrophy present?,no
image894,Does epididymis show gram organisms well shown?,no
image894,Is child present?,no
image894,Does this image show gram organisms well shown?,yes
image894,Is spinal fluid present?,yes
image894,Is neutrophil gram positive diplococci present?,yes
image894,Is cryptosporidia present?,no
image895,What is present?,nervous
image895,Is nervous present?,yes
image895,Is lupus erythematosus periarterial fibrosis present?,no
image895,Where is this?,nervous
image895,"Does malignant histiocytosis show neural tube defect, meningomyelocele?",no
image895,"Does this image show neural tube defect, meningomyelocele?",yes
image896,Is nervous present?,yes
image896,Is pyelonephritis carcinoma in prostate present?,no
image896,Where is this?,nervous
image896,"Does fetus developing very early show brain, pick 's disease?",no
image896,"Does this image show brain, pick 's disease?",yes
image896,What does this image show?,brain
image896,What is present?,nervous
image897,"Does this image show schwannoma, antoni a and antoni b patterns?",yes
image897,What does this image show?,schwannoma
image897,"Does opened muscle show schwannoma, antoni a and antoni b patterns?",no
image897,Where is this?,nervous
image897,Is esophagus present?,no
image897,Is nervous present?,yes
image897,What is present?,nervous
image898,Where is this?,nervous
image898,"Does this image show neural tube defect, meningomyelocele?",yes
image898,Is nervous present?,yes
image898,What is present?,nervous
image898,"Does example show neural tube defect, meningomyelocele?",no
image898,Is median lobe hyperplasia with marked cystitis and bladder hypertrophy ureter present?,no
image899,Does grams stain gram negative bacteria?,yes
image899,Does this image show grams stain gram negative bacteria?,yes
image899,What is present?,brain
image899,Is brain present?,yes
image899,Is so-called median bar present?,no
image899,Is meningitis purulent present?,yes
image899,Is inflamed exocervix present?,no
image899,What stain gram negative bacteria?,grams
image899,How do grams stain gram  bacteria ?,negative
image899,Does hemorrhage in newborn show grams stain gram negative bacteria?,no
image900,Is nervous present?,yes
image900,Is amyloid angiopathy r. endocrine present?,no
image900,"Does cortical nodule show spinal cord injury due to vertebral column trauma, demyelination?",no
image900,What is present?,nervous
image900,"Does this image show spinal cord injury due to vertebral column trauma, demyelination?",yes
image901,"Does this image show spinal cord injury due to vertebral column trauma, demyelination?",yes
image901,"Does side show spinal cord injury due to vertebral column trauma, demyelination?",no
image901,What is present?,nervous
image901,Is heart present?,no
image901,Is nervous present?,yes
image902,Is source present?,no
image902,Does this image show typical not the best micrograph?,yes
image902,Is meningitis acute present?,yes
image902,Does supernumerary digits show typical not the best micrograph?,no
image902,What is present?,brain
image902,Is brain present?,yes
image902,Is palmar crease normal present?,no
image903,Where is this?,nervous
image903,"Does this image show neural tube defect, meningomyelocele?",yes
image903,"Does embryo-fetus show neural tube defect, meningomyelocele?",no
image903,What is present?,nervous
image903,Is nervous present?,yes
image903,Is infarcts present?,no
image904,Is musculoskeletal present?,yes
image904,What is present?,musculoskeletal
image904,"Does this image show leg - muscle wasting, hiv?",yes
image905,Is musculoskeletal present?,yes
image905,"Does this image show foot, rheumatoid arthritis?",yes
image905,What does this image show?,foot
image905,What is present?,musculoskeletal
image906,Is no chromosomal defects lived one day?,yes
image906,Does this image show dysraphism encephalocele occipital premature female no chromosomal defects lived one day?,yes
image906,What is present?,brain
image906,Is brain present?,yes
image907,Is no chromosomal defects lived one day?,yes
image907,What is present?,brain
image907,Is brain present?,yes
image907,Does this image show dysraphism encephalocele occipital premature female no chromosomal defects lived one day?,yes
image908,Is no chromosomal defects lived one day?,yes
image908,Does this image show dysraphism encephalocele occipital premature female no chromosomal defects lived one day?,yes
image908,What is present?,brain
image908,Is brain present?,yes
image909,Does this image show neural tube defect?,yes
image910,Does exposure show neural tube defect?,no
image910,Does this image show neural tube defect?,yes
image911,"Does this image show brain, intraventricular hemorrhage?",yes
image911,What does this image show?,brain
image911,What is present?,nervous
image911,Is nervous present?,yes
image912,Does this image show neural tube defect?,yes
image912,Does cyst show neural tube defect?,no
image913,Is respiratory present?,yes
image913,What does this image show?,tuberculosis
image913,"Does this image show tuberculosis, empyema?",yes
image913,What is present?,respiratory
image914,Does this image show pulmonary thromboemboli?,yes
image914,What is present?,respiratory
image914,Is respiratory present?,yes
image914,Where is this?,lung
image915,"Does this image show lung fibrosis, scleroderma?",yes
image915,What is present?,respiratory
image915,Is respiratory present?,yes
image915,Where is this?,lung
image916,Where is this?,lung
image916,Is respiratory present?,yes
image916,What is present?,respiratory
image916,"Does spinal fluid show lung, sarcoidosis?",no
image916,"Does this image show lung, sarcoidosis?",yes
image916,What does this image show?,lung
image916,Is this myoma present?,no
image917,"Does this image show lung, iron overload?",yes
image917,"Does autoimmune thyroiditis show lung, iron overload?",no
image917,Is respiratory present?,yes
image917,What is present?,respiratory
image917,What does this image show?,lung
image917,Is excellent example present?,no
image917,Where is this?,lung
image918,"Does this image show lung fibrosis, scleroderma?",yes
image918,What is present?,respiratory
image918,Is respiratory present?,yes
image918,Where is this?,lung
image919,What is present?,respiratory
image919,Where is this?,lung
image919,Is respiratory present?,yes
image919,Does this image show pulmonary thromboemboli?,yes
image920,Where is this?,lung
image920,What does this image show?,lung
image920,"Does this image show lung, bronchiiogenic carcinoma?",yes
image920,Is postpartum present?,no
image920,Is respiratory present?,yes
image920,"Does coronary atherosclerosis show lung, bronchiiogenic carcinoma?",no
image920,What is present?,respiratory
image921,Is respiratory present?,yes
image921,Where is this?,lung
image921,What is present?,respiratory
image921,"Does this image show lung fibrosis, scleroderma?",yes
image922,Does this image show pulmonary thromboemboli?,yes
image922,What is present?,respiratory
image922,Where is this?,lung
image922,Is respiratory present?,yes
image923,Where is this?,lung
image923,Is this close-up of cut surface infiltrates present?,no
image923,Is respiratory present?,yes
image923,What is present?,respiratory
image923,"Does hand show lung, hemorrhagic fibrinous pleuritis?",no
image923,"Does this image show lung, hemorrhagic fibrinous pleuritis?",yes
image923,What does this image show?,lung
image924,What does this image show?,lung
image924,"Does this image show lung, pulmonary fibrosis and congestion?",yes
image924,Where is this?,lung
image924,What is present?,respiratory
image924,Is respiratory present?,yes
image924,Is hand present?,no
image924,"Does cut surface typical ivory vertebra do not have history at this time diagnosis show lung, pulmonary fibrosis and congestion?",no
image925,What does this image show?,lung
image925,Is respiratory present?,yes
image925,Where is this?,lung
image925,Is villous adenoma present?,no
image925,"Does this image show lung, sarcoidosis?",yes
image925,"Does hyperplasia median bar show lung, sarcoidosis?",no
image925,What is present?,respiratory
image926,Is respiratory present?,yes
image926,What is present?,respiratory
image926,Does this image show pulmonary thromboemboli?,yes
image926,Where is this?,lung
image927,Where is this?,lung
image927,Is respiratory present?,yes
image927,What is present?,respiratory
image927,"Does this image show lung fibrosis, scleroderma?",yes
image928,Where is this?,lung
image928,Is cervical carcinoma present?,no
image928,Does this image show cryptococcal pneumonia?,yes
image928,What is present?,respiratory
image928,Does lesion show cryptococcal pneumonia?,no
image928,Is respiratory present?,yes
image929,Does this image show pulmonary thromboemboli?,yes
image929,Is respiratory present?,yes
image929,What is present?,respiratory
image929,Where is this?,lung
image930,Where is this?,lung
image930,Is colon present?,no
image930,Is respiratory present?,yes
image930,What is present?,respiratory
image930,Does iron show pulmonary thromboemboli?,no
image930,Does this image show pulmonary thromboemboli?,yes
image931,Is corpus luteum present?,no
image931,Where is this?,lung
image931,What is present?,respiratory
image931,Do vasculature burn smoke inhalation?,no
image931,Do thermal burn smoke inhalation?,yes
image931,What burn smoke inhalation?,thermal
image931,What does this image show?,lung
image931,Does cytomegalovirus show lung?,no
image931,Is respiratory present?,yes
image931,Does this image show lung?,yes
image932,Is oil acid present?,no
image932,Where is this?,lung
image932,Do lip burn smoke inhalation?,no
image932,Do thermal burn smoke inhalation?,yes
image932,What burn smoke inhalation?,thermal
image932,Does umbilical cord show trachea?,no
image932,Does this image show trachea?,yes
image932,What does this image show?,trachea
image932,Is respiratory present?,yes
image932,What is present?,respiratory
image933,Does this image show thromboembolus from leg veins in pulmonary artery?,yes
image933,What is present?,respiratory
image933,Is respiratory present?,yes
image933,Where is this?,lung
image934,What is present?,respiratory
image934,Where is this?,lung
image934,Is respiratory present?,yes
image934,Does this image show pulmonary thromboemboli?,yes
image935,Where is this?,lung
image935,What is present?,respiratory
image935,Is respiratory present?,yes
image935,"Does this image show pleural cavity, actinomyces sulfur granules?",yes
image936,Does this image show subacute pulmonary thromboembolus with acute infarct?,yes
image936,What is present?,respiratory
image936,Is respiratory present?,yes
image936,Where is this?,lung
image937,Is papillary adenoma present?,no
image937,Where is this?,lung
image937,"Does lymphoma show lung, emphysema?",no
image937,What is present?,respiratory
image937,What does this image show?,lung
image937,Is respiratory present?,yes
image937,"Does this image show lung, emphysema?",yes
image938,Is respiratory present?,yes
image938,Where is this?,lung
image938,Does this image show thromboembolus from leg veins in pulmonary artery?,yes
image938,What is present?,respiratory
image939,Where is this?,lung
image939,Is respiratory present?,yes
image939,What is present?,respiratory
image939,Does this image show thromboembolus from leg veins in pulmonary artery?,yes
image940,"Does this image show lung, emphysema?",yes
image940,"Does vasculature show lung, emphysema?",no
image940,What is present?,respiratory
image940,Is respiratory present?,yes
image940,Is nodular tumor present?,no
image940,What does this image show?,lung
image940,Where is this?,lung
image941,"Does this image show lung, squamous cell carcinoma fungating lesion right mainstbronchus?",yes
image941,What does this image show?,lung
image941,What is present?,respiratory
image941,Where is this?,lung
image941,Is respiratory present?,yes
image942,Is respiratory present?,yes
image942,What is present?,respiratory
image942,Where is this?,lung
image942,"Does this image show lung fibrosis, scleroderma?",yes
image943,"Does this image show pleural cavity, actinomyces sulfur granules?",yes
image943,What is present?,respiratory
image943,Is respiratory present?,yes
image943,Where is this?,lung
image944,Does metastatic carcinoma breast show normal lung?,no
image944,What is present?,respiratory
image944,Is respiratory present?,yes
image944,Is lymphangiomatosis generalized present?,no
image944,Does this image show normal lung?,yes
image944,Where is this?,lung
image945,Where is this?,lung
image945,Is respiratory present?,yes
image945,What is present?,respiratory
image945,"Does this image show lung, squamous cell carcinoma?",yes
image945,What does this image show?,lung
image946,Is respiratory present?,yes
image946,Does this image show normal lung?,yes
image946,Where is this?,lung
image946,What is present?,respiratory
image947,What does this image show?,lung
image947,"Does this image show lung, emphysema severe with bullae?",yes
image947,"Does gastrointestinal show lung, emphysema severe with bullae?",no
image947,What is present?,respiratory
image947,Is respiratory present?,yes
image947,Is anomalous origin present?,no
image947,Where is this?,lung
image948,Does this image show lung abscess?,yes
image948,Does supernumerary digits show lung abscess?,no
image948,What is present?,respiratory
image948,Is respiratory present?,yes
image948,Is hyperplasia median bar present?,no
image948,Where is this?,lung
image949,"Does leukoplakia vocal cord show lung, congestion, heart failure cells hemosiderin laden macrophages?",no
image949,What is present?,respiratory
image949,"Does this image show lung, congestion, heart failure cells hemosiderin laden macrophages?",yes
image949,Is testicle present?,no
image949,Is respiratory present?,yes
image949,Where is this?,lung
image949,What does this image show?,lung
image950,Where is this?,lung
image950,What is present?,respiratory
image950,Does this image show normal lung?,yes
image950,Is respiratory present?,yes
image951,"Does retroperitoneal liposarcoma show lung, bronchopneumonia, cystic fibrosis?",no
image951,Is respiratory present?,yes
image951,What is present?,respiratory
image951,Is focal hemorrhagic infarction well shown present?,no
image951,Where is this?,lung
image951,"Does this image show lung, bronchopneumonia, cystic fibrosis?",yes
image951,What does this image show?,lung
image952,Does gms show normal lung?,no
image952,Is metastatic adenocarcinoma present?,no
image952,Is respiratory present?,yes
image952,What is present?,respiratory
image952,Where is this?,lung
image952,Does this image show normal lung?,yes
image953,Where is this?,lung
image953,Is respiratory present?,yes
image953,Does this image show subacute pulmonary thromboembolus with acute infarct?,yes
image953,What is present?,respiratory
image954,Where is this?,lung
image954,Is respiratory present?,yes
image954,What is present?,respiratory
image954,"Does this image show lung, squamous cell carcinoma?",yes
image954,What does this image show?,lung
image955,What is present?,respiratory
image955,What does this image show?,lung
image955,"Does this image show lung, pulmonary fibrosis and atherosclerosis of pulmonary artery?",yes
image955,Where is this?,lung
image955,Is respiratory present?,yes
image956,What is present?,respiratory
image956,What does this image show?,lungs
image956,"Does this image show lungs, hemochromatosis?",yes
image956,Where is this?,lung
image956,Is embryo-fetus present?,no
image956,"Does acute inflammation show lungs, hemochromatosis?",no
image956,Is respiratory present?,yes
image957,Is mesentery present?,no
image957,What is present?,respiratory
image957,"Does close-up show lung, asbestosis and mesothelioma?",no
image957,"Does this image show lung, asbestosis and mesothelioma?",yes
image957,Where is this?,lung
image957,Is respiratory present?,yes
image957,What does this image show?,lung
image958,Does this image show normal lung?,yes
image958,What is present?,respiratory
image958,Is respiratory present?,yes
image958,Where is this?,lung
image959,Where is this?,lung
image959,What is present?,respiratory
image959,"Does gout show lung, congestion?",no
image959,"Does this image show lung, congestion?",yes
image959,What does this image show?,lung
image959,Is respiratory present?,yes
image959,Is typical ivory vertebra present?,no
image960,What is present?,respiratory
image960,Does lesion cross show lung carcinoma?,no
image960,Does this image show lung carcinoma?,yes
image960,Where is this?,lung
image960,Is metastatic malignant melanoma present?,no
image960,Is respiratory present?,yes
image961,Where is this?,lung
image961,Does this image show subacute pulmonary thromboembolus with acute infarct?,yes
image961,What is present?,respiratory
image961,Is respiratory present?,yes
image962,Is dilantin present?,no
image962,What does this image show?,lung
image962,"Does this image show lung, diffuse alveolar damage and abscess?",yes
image962,"Does metastatic carcinoma oat cell show lung, diffuse alveolar damage and abscess?",no
image962,What is present?,respiratory
image962,Is respiratory present?,yes
image962,Where is this?,lung
image963,"Does this image show lung, chronic abscesses?",yes
image963,Is respiratory present?,yes
image963,"Does cytomegaly show lung, chronic abscesses?",no
image963,What is present?,respiratory
image963,What does this image show?,lung
image963,Where is this?,lung
image963,Is umbilical cord present?,no
image964,Where is this?,lung
image964,Is respiratory present?,yes
image964,What is present?,respiratory
image964,"Does close-up of lesion show lung, cryptococcal pneumonia?",no
image964,Is total effacement case present?,no
image964,"Does this image show lung, cryptococcal pneumonia?",yes
image964,What does this image show?,lung
image965,What does this image show?,lung
image965,"Does this image show lung, diffuse alveolar damage?",yes
image965,What is present?,respiratory
image965,Is respiratory present?,yes
image965,Where is this?,lung
image966,Where is this?,lung
image966,Is respiratory present?,yes
image966,Does this image show normal lung?,yes
image966,What is present?,respiratory
image967,What is present?,respiratory
image967,What does this image show?,lung
image967,Is cytomegalovirus present?,no
image967,"Does cat show lung, diffuse alveolar damage?",no
image967,Is respiratory present?,yes
image967,Where is this?,lung
image967,"Does this image show lung, diffuse alveolar damage?",yes
image968,What is present?,respiratory
image968,Where is this?,lung
image968,"Does all the fat necrosis show aspiration pneumonia, acute alcoholic?",no
image968,"Does this image show aspiration pneumonia, acute alcoholic?",yes
image968,Is respiratory present?,yes
image968,Is morphology present?,no
image969,Is hemorrhagic corpus luteum present?,no
image969,Is respiratory present?,yes
image969,What is present?,respiratory
image969,"Does fixed tissue show lung, emphysema and pneumonia, alpha-1 antitrypsin deficiency?",no
image969,"Does this image show lung, emphysema and pneumonia, alpha-1 antitrypsin deficiency?",yes
image969,What does this image show?,lung
image969,"How many antitrypsin does this image show lung, emphysema and pneumonia, alpha-deficiency?",1
image969,Where is this?,lung
image970,What does this image show?,lung
image970,Where is this?,lung
image970,Is respiratory present?,yes
image970,"Does this image show lung, pulmonary fibrosis and atherosclerosis of pulmonary artery?",yes
image970,What is present?,respiratory
image971,"Does this image show lung, abscesses?",yes
image971,"Does iron show lung, abscesses?",no
image971,What is present?,respiratory
image971,Is respiratory present?,yes
image971,Is chronic myelogenous leukemia in blast crisis present?,no
image971,Where is this?,lung
image971,What does this image show?,lung
image972,"Does endometrial polyp show lung, pneumocystis pneumonia?",no
image972,Is acute inflammation present?,no
image972,Is respiratory present?,yes
image972,What is present?,respiratory
image972,"Does this image show lung, pneumocystis pneumonia?",yes
image972,What does this image show?,lung
image972,Where is this?,lung
image973,"Does palmar crease normal show lung, abscess?",no
image973,What is present?,respiratory
image973,Is respiratory present?,yes
image973,Is metastatic carcinoma lung present?,no
image973,Where is this?,lung
image973,"Does this image show lung, abscess?",yes
image973,What does this image show?,lung
image974,Where is this?,lung
image974,What does this image show?,lung
image974,"Does this image show lung, pulmonary fibrosis and atherosclerosis of pulmonary artery?",yes
image974,What is present?,respiratory
image974,Is respiratory present?,yes
image975,Where is this?,lung
image975,Is intraductal papillomatosis present?,no
image975,Is respiratory present?,yes
image975,What is present?,respiratory
image975,Does periprostatic vein thrombi show lung carcinoma?,no
image975,Does this image show lung carcinoma?,yes
image976,Is oral present?,yes
image976,What is present?,oral
image976,Does this image show dilaceration?,yes
image976,What does this image show?,dilaceration
image976,Where is this?,oral
image977,What is present?,larynx
image977,Is larynx present?,yes
image977,Is papilloma on vocal cord present?,yes
image977,Where is this?,oral
image978,Is hypopharynx present?,yes
image978,What is present?,hypopharynx
image978,Does this image show ulcerative lesion right pyriform sinus well shown?,yes
image978,Is squamous cell carcinoma present?,yes
image978,Where is this?,oral
image979,Where is this?,oral
image979,Does this image show large ulcerated and necrotic appearing lesion?,yes
image979,What is present?,larynx
image979,Is squamous cell carcinoma present?,yes
image979,Is larynx present?,yes
image980,Is this person present?,no
image980,Is larynx present?,yes
image980,What is present?,larynx
image980,Does heart show good example probably due to intubation?,no
image980,Does this image show good example probably due to intubation?,yes
image980,Where is this?,oral
image980,Is acute inflammation present?,yes
image980,Is pinworm present?,no
image981,Where is this?,oral
image981,Is ulcerative lesion left true cord quite good?,yes
image981,Does this image show ulcerative lesion left true cord quite good?,yes
image981,What is present?,larynx
image981,Is larynx present?,yes
image981,How is ulcerative lesion left true cord  ?,good
image981,Is squamous cell carcinoma present?,yes
image982,Does malignant lymphoma large cell type show large lesion good but not the best?,no
image982,Does this image show large lesion good but not the best?,yes
image982,Where is this?,oral
image982,What is present?,larynx
image982,Is larynx present?,yes
image982,Is interesting case present?,no
image982,What is present?,carcinoma
image982,Is carcinoma present?,yes
image982,Is metastatic carcinoma lung present?,no
image983,Is the superior vena cava present?,no
image983,Is squamous cell carcinoma present?,yes
image983,Is hypopharynx present?,yes
image983,Is hand present?,no
image983,Where is this?,oral
image983,What is present?,hypopharynx
image984,What is present?,ulcer
image984,Is larynx present?,yes
image984,What is present?,larynx
image984,Is krukenberg tumor present?,no
image984,Is ulcer present?,yes
image984,Where is this?,oral
image984,Does this image show large ulcers probably secondary to tube?,yes
image984,Does malignant adenoma show large ulcers probably secondary to tube?,no
image984,Is craniopharyngioma present?,no
image985,Where is this?,oral
image985,What is present?,larynx
image985,Is ulcerative lesion left true cord quite good?,yes
image985,Is squamous cell carcinoma present?,yes
image985,Does this image show ulcerative lesion left true cord quite good?,yes
image985,Is larynx present?,yes
image985,How is ulcerative lesion left true cord  ?,good
image986,Is pharynx present?,yes
image986,What is present?,pharynx
image986,Is edema hypopharynx present?,yes
image986,Where is this?,oral
image987,What is present?,larynx
image987,Is larynx present?,yes
image987,Is adenosis and ischemia present?,no
image987,Where is this?,oral
image987,Is squamous cell carcinoma present?,yes
image987,Is nodular tumor present?,no
image987,Does this image show excellent very large ulcerative lesion?,yes
image987,Does periprostatic vein thrombi show excellent very large ulcerative lesion?,no
image988,Where is this?,oral
image988,Does this image show excellent example intubation lesion with tracheitis?,yes
image988,Does angiogram show excellent example intubation lesion with tracheitis?,no
image988,Is larynx present?,yes
image988,Is metastatic malignant melanoma present?,no
image988,What is present?,ulcer
image988,Is ulcer present?,yes
image988,Is larynx present?,no
image988,What is present?,larynx
image989,Where is this?,oral
image989,What is present?,larynx
image989,Is larynx present?,yes
image989,What is present?,carcinoma
image989,Is carcinoma present?,yes
image989,Does this image show excellent lesion on true cord spreading down?,yes
image990,Where is this?,oral
image991,Is carcinoma present?,yes
image991,What is present?,carcinoma
image991,Is oral present?,yes
image991,What is present?,oral
image991,How is unopened larynx viewed from hypopharynx mass of  tissue ?,necrotic
image991,Does this image show unopened larynx viewed from hypopharynx mass of necrotic tissue?,yes
image991,Where is this?,oral
image992,What is present?,larynx
image992,Where is this?,oral
image993,Is hypopharyngeal edema present?,yes
image993,Is larynx present?,yes
image993,What is present?,larynx
image993,Does this image show edema well shown?,yes
image993,Where is this?,oral
image994,Is hypopharyngeal edema present?,yes
image994,Is larynx present?,yes
image994,What is present?,larynx
image994,Where is this?,oral
image995,What is present?,larynx
image995,Where is this?,oral
image996,Is squamous cell carcinoma present?,yes
image996,Does this image show view of ulcerative lesion at base of tongue laterally quite good?,yes
image996,What is present?,tongue
image996,Where is this?,oral
image996,Is tongue present?,yes
image997,Where is this?,oral
image997,What is close-up view of very edematous hypopharyngeal mucosa with opened larynx this is a very good example of a lesion seldom seen at autopsy slide more distant view of this specimen after fixation?,slide
image997,How is this a very good example of a lesion seldom seen at  slide?,autopsy
image997,How is this a very  example of a lesion seldom seen at autopsy slide?,good
image997,What is present?,oral
image997,What is a very good example of a lesion seldom seen at autopsy slide?,this
image998,What is a close-up in natural color of the edematous mucosal membrane?,slide
image998,Where is this?,oral
image998,What is present?,oral
image999,What is present?,oral
image999,Does this image show larynx is mass of necrotic tissue?,yes
image999,Where is this?,oral
image999,Is larynx mass of necrotic tissue?,yes
image999,What is mass of necrotic tissue?,larynx
image999,Is oral present?,yes
image999,What is larynx of necrotic tissue?,mass
image999,Is carcinoma present?,yes
image999,What is present?,carcinoma
image999,How is larynx mass of  tissue?,necrotic
image1000,Where is this?,oral
image1000,Does this image show periodontal fibroma?,yes
image1000,What is present?,oral
image1000,Is oral present?,yes
image1001,Where is this?,oral
image1001,Does this image show sialolith?,yes
image1001,What is present?,oral
image1001,Is oral present?,yes
image1002,Is carcinoma present?,yes
image1002,What is present?,carcinoma
image1002,Is larynx present?,yes
image1002,What is present?,larynx
image1002,Where is this?,oral
image1002,Does this image show large fungating lesion?,yes
image1003,Where is this?,oral
image1003,Does this image show dentigerous cyst?,yes
image1003,What is present?,oral
image1003,Is oral present?,yes
image1004,Where is this?,oral
image1004,What does this image show?,attrition
image1004,Does this image show attrition?,yes
image1004,What is present?,oral
image1004,Is oral present?,yes
image1005,Is larynx present?,yes
image1005,What is present?,larynx
image1005,Does this image show unopened larynx seen from above edema really is in hypopharynx?,yes
image1005,Is unopened larynx seen from above edema in hypopharynx?,yes
image1005,Where is this?,oral
image1006,What is present?,bone
image1006,Is siamese twins present?,no
image1006,"Is bone, skull present?",yes
image1006,Is myoma lesion present?,no
image1006,Does this great toe show x-ray skull cap multiple lytic lesions prostate adenocarcinoma?,no
image1006,Does this image show x-ray skull cap multiple lytic lesions prostate adenocarcinoma?,yes
image1006,Is metastatic carcinoma x-ray present?,yes
image1007,"Is bone, skull present?",no
image1007,"Is bone, calvarium present?",yes
image1007,What is present?,bone
image1007,Is hemisection of nose present?,no
image1007,"Does squamous cell carcinoma, lip remote, show x-ray showing large sella turcica?",no
image1007,Does this image show x-ray showing large sella turcica?,yes
image1007,Is chromophobe adenoma present?,yes
image1008,Is hemochromatosis present?,no
image1008,What is present ?,pituitary
image1008,Does this x-ray of sella turcica after removal postmort show partially destroyed bone and large soft tissue mass?,yes
image1008,What is present ?,endocrine
image1008,What is present?,endocrine
image1008,Is endocrine present?,yes
image1008,Is coronary atherosclerosis present?,no
image1008,What is present?,pituitary
image1008,Is pituitary present?,yes
image1008,Is carcinoma metastatic lung present?,no
image1008,Is malignant adenoma present?,yes
image1008,Does cells show partially destroyed bone and large soft tissue mass?,no
image1009,Is endocrine present?,yes
image1009,What is present?,endocrine
image1009,What is present ?,endocrine
image1009,What does this image show?,pituitary
image1009,"Does this image show pituitary, chromaphobe adenoma?",yes
image1010,What is present ?,pituitary
image1010,What is present ?,endocrine
image1010,Is malignant adenoma present?,no
image1010,Is chromophobe adenoma present?,yes
image1010,Is amyloidosis present?,no
image1010,What is present?,pituitary
image1010,Is siamese twins present?,no
image1010,Is endocrine present?,yes
image1010,What is present?,endocrine
image1010,Does pituitary show x-ray sella?,no
image1010,Is pituitary present?,yes
image1010,Does this image show x-ray sella?,yes
image1011,What is present ?,pituitary
image1011,Does this image show x-ray sella?,yes
image1011,What is present?,endocrine
image1011,What is present?,pituitary
image1011,Is pituitary present?,yes
image1011,Is endocrine present?,yes
image1011,Is sella present?,no
image1011,Is chromophobe adenoma present?,yes
image1011,Is tuberculosis present?,no
image1011,What is present ?,endocrine
image1012,Is stillborn macerated present?,no
image1012,Does carcinomatosis show adrenal medullary tumor?,no
image1012,What is present?,endocrine
image1012,Is endocrine present?,yes
image1012,Does this image show adrenal medullary tumor?,yes
image1012,What is present ?,endocrine
image1013,Is endocrine present?,yes
image1013,"Does this image show thyroid, goiter?",yes
image1013,"Does lymphangiomatosis generalized show thyroid, goiter?",no
image1013,What is present?,endocrine
image1013,Is mesothelioma present?,no
image1013,What does this image show?,thyroid
image1013,What is present ?,endocrine
image1014,Is endocrine present?,yes
image1014,Is natural color present?,no
image1014,What is present ?,endocrine
image1014,What is present?,endocrine
image1014,Does endocrine show parathyroid hyperplasia?,no
image1014,Does this image show parathyroid hyperplasia?,yes
image1015,"Does this image show thyroid, goiter?",yes
